nome,sobrenome,email,cargo_id,aeroporto_base_id,data_contratacao,salario,ativo,numero_identificacao
Laura,Fernandes,laura.fernandes.func0@aeroporto.com.br,816,2783,2021-09-27,34013.2,True,FUNC-000001
Kevin,Lopes,kevin.lopes.func1@aeroporto.com.br,572,2097,2018-04-03,8132.88,True,FUNC-000002
Bianca,Almeida,bianca.almeida.func2@aeroporto.com.br,957,2339,2025-07-31,4314.85,True,FUNC-000003
Ravy,Mendes,ravy.mendes.func3@aeroporto.com.br,796,3936,2014-11-01,24742.5,True,FUNC-000004
Caio,Araújo,caio.araújo.func4@aeroporto.com.br,457,2462,2013-02-06,8526.58,False,FUNC-000005
Júlia,Costa,júlia.costa.func5@aeroporto.com.br,375,1470,2020-10-24,29040.71,True,FUNC-000006
Yasmin,Barbosa,yasmin.barbosa.func6@aeroporto.com.br,779,2039,2019-06-28,31940.77,True,FUNC-000007
Mariana,Cardoso,mariana.cardoso.func7@aeroporto.com.br,543,90,2022-11-04,34172.0,True,FUNC-000008
Kevin,Albuquerque,kevin.albuquerque.func8@aeroporto.com.br,70,155,2025-02-21,16199.89,True,FUNC-000009
Erick,Albuquerque,erick.albuquerque.func9@aeroporto.com.br,225,453,2022-02-19,33110.64,True,FUNC-000010
Marcos Vinicius,Cavalcanti,marcos vinicius.cavalcanti.func10@aeroporto.com.br,848,3398,2020-03-10,15212.06,True,FUNC-000011
Pedro Lucas,Barros,pedro lucas.barros.func11@aeroporto.com.br,606,38,2012-10-27,15989.89,True,FUNC-000012
Davi Lucca,Abreu,davi lucca.abreu.func12@aeroporto.com.br,781,3949,2026-04-03,25275.32,True,FUNC-000013
Marcos Vinicius,Pimenta,marcos vinicius.pimenta.func13@aeroporto.com.br,751,1955,2025-12-16,15549.05,True,FUNC-000014
Maria Eduarda,da Rocha,maria eduarda.da rocha.func14@aeroporto.com.br,161,4055,2019-06-29,24170.29,True,FUNC-000015
Leandro,Silva,leandro.silva.func15@aeroporto.com.br,801,3377,2024-12-16,11483.21,True,FUNC-000016
Esther,Lopes,esther.lopes.func16@aeroporto.com.br,281,4877,2023-05-08,34813.27,True,FUNC-000017
Alícia,Lima,alícia.lima.func17@aeroporto.com.br,659,3612,2022-07-25,4645.12,True,FUNC-000018
Ana Carolina,Mendonça,ana carolina.mendonça.func18@aeroporto.com.br,617,3947,2023-05-04,13483.13,True,FUNC-000019
Diogo,da Cruz,diogo.da cruz.func19@aeroporto.com.br,961,1883,2023-04-18,13534.57,True,FUNC-000020
Bryan,Marques,bryan.marques.func20@aeroporto.com.br,390,979,2024-12-27,4037.7,True,FUNC-000021
João Pedro,Almeida,joão pedro.almeida.func21@aeroporto.com.br,892,24,2018-07-31,19897.32,True,FUNC-000022
Heitor,Abreu,heitor.abreu.func22@aeroporto.com.br,720,2128,2014-07-03,4027.38,True,FUNC-000023
Mirella,Vieira,mirella.vieira.func23@aeroporto.com.br,313,1698,2015-07-13,13890.11,False,FUNC-000024
Yuri,Oliveira,yuri.oliveira.func24@aeroporto.com.br,427,4540,2018-09-19,10426.9,True,FUNC-000025
Alexandre,Vieira,alexandre.vieira.func25@aeroporto.com.br,359,4503,2018-04-18,28128.01,True,FUNC-000026
Henrique,Gomes,henrique.gomes.func26@aeroporto.com.br,657,4951,2024-03-01,22410.46,True,FUNC-000027
Yuri,Sampaio,yuri.sampaio.func27@aeroporto.com.br,48,360,2020-11-02,5394.56,True,FUNC-000028
Paulo,Camargo,paulo.camargo.func28@aeroporto.com.br,621,2732,2014-08-02,20577.83,True,FUNC-000029
Nathan,Andrade,nathan.andrade.func29@aeroporto.com.br,566,4292,2018-03-06,16619.1,True,FUNC-000030
Nicole,Barbosa,nicole.barbosa.func30@aeroporto.com.br,61,4900,2014-05-13,13668.76,True,FUNC-000031
Antonella,Siqueira,antonella.siqueira.func31@aeroporto.com.br,177,2882,2020-01-19,20995.09,True,FUNC-000032
Maria Júlia,Moura,maria júlia.moura.func32@aeroporto.com.br,671,2366,2025-11-21,26541.3,True,FUNC-000033
Henry Gabriel,Ramos,henry gabriel.ramos.func33@aeroporto.com.br,693,2989,2022-02-22,15467.81,True,FUNC-000034
Enzo Gabriel,Rocha,enzo gabriel.rocha.func34@aeroporto.com.br,424,1766,2012-06-16,18125.71,True,FUNC-000035
José Pedro,Fernandes,josé pedro.fernandes.func35@aeroporto.com.br,984,4431,2014-06-06,4053.99,True,FUNC-000036
Mariana,Aparecida,mariana.aparecida.func36@aeroporto.com.br,984,4097,2018-09-05,3624.33,True,FUNC-000037
Gael Henrique,Carvalho,gael henrique.carvalho.func37@aeroporto.com.br,458,3389,2013-10-23,16634.63,True,FUNC-000038
Heloisa,Andrade,heloisa.andrade.func38@aeroporto.com.br,28,3958,2022-12-21,19123.31,True,FUNC-000039
Larissa,Sales,larissa.sales.func39@aeroporto.com.br,931,2000,2013-01-13,10754.32,True,FUNC-000040
Alícia,Siqueira,alícia.siqueira.func40@aeroporto.com.br,766,1720,2014-05-14,34892.71,True,FUNC-000041
Theodoro,Dias,theodoro.dias.func41@aeroporto.com.br,850,4306,2020-10-13,9538.11,True,FUNC-000042
Luana,da Mata,luana.da mata.func42@aeroporto.com.br,109,1392,2012-10-24,13357.15,True,FUNC-000043
Ana Carolina,Fernandes,ana carolina.fernandes.func43@aeroporto.com.br,775,2346,2024-01-25,25004.53,True,FUNC-000044
Nina,Cirino,nina.cirino.func44@aeroporto.com.br,861,2409,2015-04-10,26091.09,True,FUNC-000045
Davi Lucas,Costa,davi lucas.costa.func45@aeroporto.com.br,794,1781,2026-04-22,18368.52,True,FUNC-000046
Stephany,Viana,stephany.viana.func46@aeroporto.com.br,191,493,2016-07-18,6616.83,True,FUNC-000047
Lucas,Novais,lucas.novais.func47@aeroporto.com.br,664,4446,2019-05-08,6815.98,True,FUNC-000048
Miguel,da Conceição,miguel.da conceição.func48@aeroporto.com.br,642,316,2014-10-30,19166.56,True,FUNC-000049
Augusto,Macedo,augusto.macedo.func49@aeroporto.com.br,650,2499,2018-12-31,10211.99,True,FUNC-000050
Nicolas,Martins,nicolas.martins.func50@aeroporto.com.br,249,1438,2025-12-09,25666.68,True,FUNC-000051
Ester,Cunha,ester.cunha.func51@aeroporto.com.br,789,1564,2016-09-09,7079.62,True,FUNC-000052
Melina,da Mata,melina.da mata.func52@aeroporto.com.br,668,761,2019-05-05,21216.76,True,FUNC-000053
Agatha,Garcia,agatha.garcia.func53@aeroporto.com.br,849,188,2016-06-22,23095.17,True,FUNC-000054
Antônio,Cassiano,antônio.cassiano.func54@aeroporto.com.br,372,1529,2014-09-14,25064.63,True,FUNC-000055
Arthur,Fogaça,arthur.fogaça.func55@aeroporto.com.br,633,3252,2025-06-20,34369.91,True,FUNC-000056
Daniela,Ramos,daniela.ramos.func56@aeroporto.com.br,290,3927,2016-08-24,18929.3,True,FUNC-000057
Enrico,Cardoso,enrico.cardoso.func57@aeroporto.com.br,867,2773,2013-05-14,32638.14,True,FUNC-000058
Levi,das Neves,levi.das neves.func58@aeroporto.com.br,409,4548,2013-11-21,13901.44,True,FUNC-000059
Raquel,Cunha,raquel.cunha.func59@aeroporto.com.br,907,763,2017-02-01,18249.87,True,FUNC-000060
Thomas,Gonçalves,thomas.gonçalves.func60@aeroporto.com.br,164,3447,2012-07-25,25502.33,False,FUNC-000061
Dante,Ribeiro,dante.ribeiro.func61@aeroporto.com.br,161,809,2018-06-07,9353.23,True,FUNC-000062
Apollo,Pires,apollo.pires.func62@aeroporto.com.br,85,1404,2013-06-09,30738.02,True,FUNC-000063
Alana,Aragão,alana.aragão.func63@aeroporto.com.br,857,1330,2015-07-15,24874.47,True,FUNC-000064
Ravi,Gomes,ravi.gomes.func64@aeroporto.com.br,870,70,2019-11-08,17439.41,True,FUNC-000065
Letícia,Pastor,letícia.pastor.func65@aeroporto.com.br,418,3580,2023-07-09,25290.22,True,FUNC-000066
Henry Gabriel,Carvalho,henry gabriel.carvalho.func66@aeroporto.com.br,390,833,2015-03-12,32931.31,True,FUNC-000067
Clara,Rocha,clara.rocha.func67@aeroporto.com.br,552,1335,2025-02-15,9527.58,True,FUNC-000068
Maitê,Oliveira,maitê.oliveira.func68@aeroporto.com.br,215,4485,2013-03-18,20626.59,True,FUNC-000069
Benjamin,Albuquerque,benjamin.albuquerque.func69@aeroporto.com.br,483,4611,2022-03-24,17817.62,True,FUNC-000070
Marcos Vinicius,Costa,marcos vinicius.costa.func70@aeroporto.com.br,850,2243,2013-01-28,5220.87,True,FUNC-000071
Isabella,Machado,isabella.machado.func71@aeroporto.com.br,680,3597,2023-07-07,9963.22,True,FUNC-000072
Esther,Santos,esther.santos.func72@aeroporto.com.br,862,4088,2024-05-10,32207.98,False,FUNC-000073
Antony,Gonçalves,antony.gonçalves.func73@aeroporto.com.br,456,2671,2014-06-12,16452.04,True,FUNC-000074
Bernardo,Mendonça,bernardo.mendonça.func74@aeroporto.com.br,694,299,2026-05-24,11728.11,True,FUNC-000075
Antony,Oliveira,antony.oliveira.func75@aeroporto.com.br,559,2389,2023-12-08,14425.97,True,FUNC-000076
Sabrina,Gomes,sabrina.gomes.func76@aeroporto.com.br,72,1292,2019-01-25,22596.19,True,FUNC-000077
Brenda,Barros,brenda.barros.func77@aeroporto.com.br,211,2836,2016-06-19,11168.1,True,FUNC-000078
Nathan,Silva,nathan.silva.func78@aeroporto.com.br,164,719,2012-06-26,23216.74,True,FUNC-000079
Isadora,Freitas,isadora.freitas.func79@aeroporto.com.br,286,4374,2023-04-17,19552.12,True,FUNC-000080
Milena,Fonseca,milena.fonseca.func80@aeroporto.com.br,22,3167,2016-10-22,3388.83,True,FUNC-000081
Marina,Rodrigues,marina.rodrigues.func81@aeroporto.com.br,791,465,2018-12-15,26198.26,True,FUNC-000082
Clara,da Rosa,clara.da rosa.func82@aeroporto.com.br,364,3425,2024-12-10,14079.31,True,FUNC-000083
Yan,Novais,yan.novais.func83@aeroporto.com.br,252,4501,2013-06-28,32002.94,True,FUNC-000084
Fernanda,Aparecida,fernanda.aparecida.func84@aeroporto.com.br,737,2842,2022-10-27,26409.77,True,FUNC-000085
Luna,Borges,luna.borges.func85@aeroporto.com.br,627,3367,2019-10-10,27240.33,True,FUNC-000086
Lucas,Souza,lucas.souza.func86@aeroporto.com.br,547,2432,2012-10-11,17442.43,False,FUNC-000087
Daniela,Jesus,daniela.jesus.func87@aeroporto.com.br,106,2224,2018-05-18,24725.58,True,FUNC-000088
Matheus,Pastor,matheus.pastor.func88@aeroporto.com.br,519,1112,2018-09-12,34675.95,True,FUNC-000089
Luiz Henrique,Marques,luiz henrique.marques.func89@aeroporto.com.br,458,4439,2021-07-16,34493.09,True,FUNC-000090
Eloah,da Mata,eloah.da mata.func90@aeroporto.com.br,788,1375,2022-07-30,27897.09,True,FUNC-000091
Murilo,Araújo,murilo.araújo.func91@aeroporto.com.br,209,2974,2016-05-27,25277.42,True,FUNC-000092
Cauê,Rios,cauê.rios.func92@aeroporto.com.br,445,2802,2018-09-20,20135.98,True,FUNC-000093
Allana,Novais,allana.novais.func93@aeroporto.com.br,592,1748,2024-11-01,28102.68,True,FUNC-000094
Manuela,Barbosa,manuela.barbosa.func94@aeroporto.com.br,450,1727,2011-08-10,32699.86,False,FUNC-000095
João Pedro,Melo,joão pedro.melo.func95@aeroporto.com.br,5,614,2024-01-04,25529.91,True,FUNC-000096
Alexandre,da Mata,alexandre.da mata.func96@aeroporto.com.br,76,1839,2021-11-03,29420.61,True,FUNC-000097
Oliver,Rios,oliver.rios.func97@aeroporto.com.br,556,91,2024-02-24,4168.9,True,FUNC-000098
Giovanna,Rocha,giovanna.rocha.func98@aeroporto.com.br,639,751,2016-01-23,14331.68,True,FUNC-000099
Gustavo,Brito,gustavo.brito.func99@aeroporto.com.br,151,3512,2019-06-08,4335.69,True,FUNC-000100
Maria Laura,Rezende,maria laura.rezende.func100@aeroporto.com.br,406,555,2015-10-24,13494.34,True,FUNC-000101
Amanda,Pimenta,amanda.pimenta.func101@aeroporto.com.br,66,4798,2016-03-10,10401.62,True,FUNC-000102
Brayan,Campos,brayan.campos.func102@aeroporto.com.br,49,2235,2025-04-22,10017.72,True,FUNC-000103
Rodrigo,Garcia,rodrigo.garcia.func103@aeroporto.com.br,470,2259,2012-11-12,15166.81,True,FUNC-000104
Juliana,Aparecida,juliana.aparecida.func104@aeroporto.com.br,995,1760,2019-04-02,5522.5,True,FUNC-000105
Anna Liz,Nunes,anna liz.nunes.func105@aeroporto.com.br,521,757,2021-12-11,8288.85,True,FUNC-000106
Igor,Brito,igor.brito.func106@aeroporto.com.br,950,4439,2024-12-30,15730.76,True,FUNC-000107
Benjamin,Araújo,benjamin.araújo.func107@aeroporto.com.br,288,4803,2023-08-05,19914.39,True,FUNC-000108
Augusto,Azevedo,augusto.azevedo.func108@aeroporto.com.br,312,4520,2024-12-16,22011.18,True,FUNC-000109
João Pedro,Souza,joão pedro.souza.func109@aeroporto.com.br,901,2142,2026-01-04,14006.84,True,FUNC-000110
Stephany,Cunha,stephany.cunha.func110@aeroporto.com.br,788,4692,2022-06-18,21670.14,True,FUNC-000111
Lunna,Andrade,lunna.andrade.func111@aeroporto.com.br,472,1972,2013-12-21,20342.18,True,FUNC-000112
Cecília,Siqueira,cecília.siqueira.func112@aeroporto.com.br,679,1500,2018-05-12,14093.72,True,FUNC-000113
Luiz Fernando,Andrade,luiz fernando.andrade.func113@aeroporto.com.br,20,4432,2013-11-05,16061.96,True,FUNC-000114
