nome,sobrenome,email,telefone,data_nascimento,numero_passaporte,nacionalidade_id,programa_fidelidade,milhas_acumuladas
Alícia,da Costa,alícia.dacosta0@uol.com.br,+55 (041) 0460 3560,2005-05-21,XY913336,664,FLYING_BLUE,76241
Sophie,Pereira,sophie.pereira1@live.com,+55 (051) 6493 7590,2000-10-27,YY498395,62,,343803
Alice,da Paz,alice.dapaz2@live.com,0800-058-3047,2000-07-19,HX417837,410,,103034
Arthur,Cardoso,arthur.cardoso3@live.com,51 9027 6451,1984-12-25,ZZ229905,464,EXECUTIVE_CLUB,321873
Marcos Vinicius,Abreu,marcosvinicius.abreu4@gmail.com,+55 (071) 1985 7547,1962-03-29,AF359836,414,FLYING_BLUE,127090
Otto,Nogueira,otto.nogueira5@icloud.com,+55 (011) 8427 4062,1993-02-22,US968980,939,MILEAGE_PLUS,420439
Nina,Cavalcante,nina.cavalcante6@icloud.com,+55 (011) 7255 3205,1962-07-28,HN707372,594,MILEAGE_PLUS,318795
João Lucas,Nascimento,joãolucas.nascimento7@terra.com.br,(051) 5013 5247,1945-05-21,DX562546,565,FLYING_BLUE,389131
Enrico,Borges,enrico.borges8@live.com,31 7505-1391,1978-01-16,BA206724,909,FLYING_BLUE,383322
Sofia,Porto,sofia.porto9@bol.com.br,31 0514-1200,1946-05-25,IK312267,551,,278396
Marina,da Luz,marina.daluz10@gmail.com,+55 84 5156-9933,2006-12-10,HE259055,939,LATAM_PASS,325813
Leandro,Melo,leandro.melo11@outlook.com.br,0900-268-9947,1988-01-25,PJ100176,158,EXECUTIVE_CLUB,76480
Rael,Moraes,rael.moraes12@live.com,0800-309-2523,1997-05-27,HC522552,965,SKYWARDS,130040
Calebe,Garcia,calebe.garcia13@gmail.com,81 3607 1241,1965-05-24,AH468647,974,,300303
Nicolas,Mendes,nicolas.mendes14@uol.com.br,(031) 9125 8193,1981-11-30,BC677033,74,EXECUTIVE_CLUB,38507
Lorena,Gomes,lorena.gomes15@bol.com.br,+55 (071) 6436-5314,1999-08-07,AF230423,646,SMILES,183214
Ana Vitória,Sales,anavitória.sales16@bol.com.br,84 8150 8951,1965-10-16,BF435969,913,MILES_AND_GO,290896
Ana Beatriz,Garcia,anabeatriz.garcia17@uol.com.br,+55 51 8798 9763,1994-03-01,CF816790,712,SMILES,442481
Rhavi,Rocha,rhavi.rocha18@gmail.com,+55 (081) 0423-3388,1949-03-07,JJ537028,641,ASIA_MILES,229400
Rhavi,Caldeira,rhavi.caldeira19@outlook.com.br,+55 (011) 5092-7040,1940-09-12,ZT471733,856,,172055
Benicio,Vasconcelos,benicio.vasconcelos20@bol.com.br,71 6668-4707,1957-02-07,TH826207,407,,345560
Leandro,Gomes,leandro.gomes21@gmail.com,+55 (031) 7578-9663,1990-08-28,MK372653,907,AADVANTAGE,169243
Júlia,Montenegro,júlia.montenegro22@gmail.com,+55 (084) 7380-8823,1964-09-16,YF915972,70,EXECUTIVE_CLUB,358456
Mateus,Aparecida,mateus.aparecida23@live.com,+55 31 9982 4770,1942-06-07,YA673459,731,AADVANTAGE,465767
Maria Flor,Fonseca,mariaflor.fonseca24@hotmail.com,61 2109 8636,1976-01-21,SK409777,841,SKYWARDS,273636
Maria Clara,Moura,mariaclara.moura25@yahoo.com.br,+55 (084) 6896 0066,1974-10-26,NH412440,556,FLYING_BLUE,33054
Mirella,Rodrigues,mirella.rodrigues26@icloud.com,+55 (031) 7904-2528,1944-09-23,QH289763,608,AADVANTAGE,421015
Vitor,Garcia,vitor.garcia27@terra.com.br,+55 (031) 6817 9224,1974-09-09,BM791913,27,EXECUTIVE_CLUB,368530
Guilherme,Rios,guilherme.rios28@live.com,0500-703-1080,2008-01-09,DB744706,599,EXECUTIVE_CLUB,163167
Sofia,Cunha,sofia.cunha29@bol.com.br,+55 (011) 9854 4878,1978-06-12,KF829615,489,MILEAGE_PLUS,45964
Caio,da Mata,caio.damata30@icloud.com,+55 (071) 4658-6726,1957-03-17,TX837616,915,EXECUTIVE_CLUB,371084
Dante,Cirino,dante.cirino31@hotmail.com,+55 (084) 8066 6405,1955-02-27,RA282092,269,TUDO_AZUL,480461
Maria Laura,Porto,marialaura.porto32@bol.com.br,+55 (041) 8780 3782,1955-07-27,PI324217,281,LATAM_PASS,388564
Bruna,Santos,bruna.santos33@uol.com.br,+55 51 2688 7041,1970-04-13,QI232405,913,SKYWARDS,114332
Brenda,Viana,brenda.viana34@terra.com.br,71 1373-1421,1973-07-14,KX120130,813,SKYWARDS,268418
Maria Liz,Rios,marializ.rios35@terra.com.br,+55 84 4799 4433,1966-10-21,DY952635,821,,412455
Henry,Monteiro,henry.monteiro36@icloud.com,(041) 3059-7662,1951-03-31,JR467262,238,ASIA_MILES,358428
Benício,Moura,benício.moura37@bol.com.br,+55 (021) 7846 4015,1996-07-22,MQ307467,85,EXECUTIVE_CLUB,191674
Luísa,Machado,luísa.machado38@bol.com.br,51 2199 7856,1968-01-26,SF393225,633,,126122
Caroline,Pires,caroline.pires39@yahoo.com.br,(081) 4245 8667,1961-12-06,IO333516,936,FLYING_BLUE,68801
Luiz Fernando,Pimenta,luizfernando.pimenta40@yahoo.com.br,0500-072-2679,1979-05-20,KY571075,455,MILES_AND_GO,9281
Vitor Hugo,Aparecida,vitorhugo.aparecida41@outlook.com.br,+55 (041) 1541 3827,1985-10-03,NH677665,383,AADVANTAGE,333793
